Department,JobRole,Age Band,Age,Business Unit,Attrition,BusinessTravel,EducationField,EnvironmentSatisfaction,Gender,JobLevel,JobSatisfaction,Job Type,MaritalStatus,MonthlyIncome  ,NumCompaniesWorked,OverTime,PerformanceRating,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Sick Days,Balance Days
Research & Development,Laboratory Technician,25 - 34,29,Banglore,No,Travel_Rarely,Other,2,Male,1,Very High,Part Time,Single,3983,0,No,Low,Best,3,2,2,9,12
Sales,Sales Executive,25 - 34,30,Hyderabad,No,Travel_Rarely,Marketing,4,Female,2,Very High,Full Time,Divorced,6118,1,No,Low,Better,10,9,1,5,12
Sales,Sales Executive,25 - 34,27,Mumbai,No,Travel_Rarely,Marketing,2,Female,2,Very High,Part Time,Married,6214,1,No,Outstanding,Better,8,7,0,5,7
Research & Development,Manufacturing Director,35 - 44,37,Hyderabad,No,Travel_Rarely,Medical,4,Male,2,Medium,Part Time,Divorced,6347,7,No,Good,Bad,6,2,0,1,20
Research & Development,Research Director,35 - 44,38,Banglore,No,Travel_Rarely,Life Sciences,3,Male,3,High,Full Time,Divorced,11510,0,Yes,Good,Bad,11,10,2,7,5
Research & Development,Manufacturing Director,25 - 34,31,Banglore,No,Travel_Rarely,Medical,3,Female,3,Medium,Part Time,Single,7143,1,Yes,Low,Best,11,9,4,12,5
Sales,Sales Executive,25 - 34,29,Banglore,No,Travel_Rarely,Marketing,4,Female,2,High,Part Time,Divorced,8268,1,Yes,Outstanding,Good,7,7,1,11,20
Research & Development,Manufacturing Director,35 - 44,35,Pune,No,Travel_Rarely,Technical Degree,3,Male,3,Medium,Full Time,Single,8095,0,No,Low,Bad,16,6,0,9,6
Research & Development,Research Scientist,Under 25,23,Mumbai,No,Travel_Rarely,Life Sciences,3,Male,1,Very High,Full Time,Divorced,2904,1,No,Low,Better,4,2,0,3,8
Research & Development,Manufacturing Director,35 - 44,41,Pune,No,Travel_Rarely,Medical,4,Male,2,Medium,Full Time,Single,6032,6,Yes,Excellent,Better,5,4,1,8,18
Sales,Sales Representative,45 - 54,47,Pune,No,Travel_Frequently,Medical,2,Male,2,Low,Full Time,Single,2976,3,No,Good,Good,0,0,0,5,19
Research & Development,Research Director,35 - 44,42,Mumbai,No,Travel_Rarely,Life Sciences,1,Female,4,Very High,Part Time,Single,15992,2,No,Outstanding,Good,1,0,0,9,13
Sales,Sales Executive,25 - 34,29,Pune,No,Non-Travel,Life Sciences,4,Male,2,Low,Part Time,Married,4649,1,No,Good,Best,4,3,0,11,8
Human Resources,Human Resources,35 - 44,42,Mumbai,No,Travel_Rarely,Technical Degree,3,Male,1,Medium,Part Time,Divorced,2696,0,Yes,Excellent,Better,3,2,1,8,19
Research & Development,Laboratory Technician,25 - 34,32,Mumbai,No,Travel_Rarely,Medical,3,Female,1,Low,Part Time,Married,2370,1,No,Low,Good,8,0,0,3,7
Sales,Manager,45 - 54,48,Hyderabad,No,Travel_Rarely,Medical,1,Female,3,Very High,Part Time,Married,12504,3,No,Excellent,Better,0,0,0,7,6
Research & Development,Research Scientist,35 - 44,37,Banglore,No,Travel_Rarely,Medical,3,Male,2,Medium,Full Time,Divorced,5974,4,Yes,Low,Good,7,7,6,6,18
Sales,Sales Executive,25 - 34,30,Pune,No,Non-Travel,Technical Degree,4,Female,2,Low,Part Time,Married,4736,7,Yes,Good,Best,2,2,2,7,20
Sales,Sales Executive,25 - 34,26,Mumbai,No,Travel_Rarely,Life Sciences,3,Male,2,Very High,Part Time,Married,5296,1,No,Low,Best,8,7,7,5,11
Research & Development,Healthcare Representative,35 - 44,42,Pune,No,Travel_Rarely,Other,1,Male,2,Very High,Full Time,Single,6781,3,No,Outstanding,Best,1,0,0,2,19
Sales,Sales Representative,Under 25,21,Banglore,Yes,Travel_Frequently,Technical Degree,1,Female,1,High,Part Time,Single,2174,1,Yes,Low,Best,3,2,1,5,5
Sales,Sales Executive,35 - 44,36,Banglore,No,Non-Travel,Medical,4,Female,2,High,Full Time,Single,6653,4,No,Low,Good,1,0,0,4,16
Sales,Sales Executive,35 - 44,36,Mumbai,No,Travel_Frequently,Medical,1,Male,3,Medium,Full Time,Married,9699,4,No,Outstanding,Best,13,9,1,4,19
Research & Development,Healthcare Representative,Over 55,57,Pune,No,Travel_Rarely,Medical,4,Male,2,Low,Full Time,Married,6755,2,No,Excellent,Better,3,2,1,8,19
Research & Development,Laboratory Technician,35 - 44,40,Banglore,No,Travel_Rarely,Life Sciences,4,Female,1,Very High,Full Time,Married,2213,3,Yes,Good,Good,7,7,1,2,8
Sales,Sales Representative,Under 25,21,Banglore,No,Non-Travel,Medical,1,Male,1,Very High,Full Time,Single,2610,1,No,Low,Best,3,2,2,3,15
Sales,Sales Representative,25 - 34,33,Hyderabad,Yes,Travel_Rarely,Marketing,4,Female,1,Medium,Part Time,Single,2851,1,Yes,Outstanding,Good,1,0,0,8,15
Research & Development,Laboratory Technician,35 - 44,37,Pune,No,Travel_Rarely,Medical,3,Female,1,Low,Part Time,Married,3452,6,No,Low,Good,5,4,0,2,10
Research & Development,Manufacturing Director,45 - 54,46,Mumbai,No,Non-Travel,Medical,3,Female,2,Medium,Full Time,Married,5258,2,No,Excellent,Bad,1,0,0,7,19
Sales,Sales Executive,35 - 44,41,Hyderabad,Yes,Travel_Frequently,Marketing,1,Male,2,Very High,Full Time,Single,9355,1,No,Good,Best,8,7,7,6,13
Research & Development,Healthcare Representative,45 - 54,50,Banglore,No,Travel_Rarely,Technical Degree,4,Male,3,Very High,Full Time,Single,10496,6,No,Low,Good,4,3,1,1,20
Sales,Sales Executive,35 - 44,40,Pune,Yes,Travel_Rarely,Marketing,3,Male,2,Medium,Full Time,Married,6380,2,Yes,Low,Best,6,4,1,10,12
Research & Development,Research Scientist,25 - 34,31,Mumbai,No,Travel_Rarely,Life Sciences,3,Male,1,Low,Part Time,Single,2657,0,Yes,Good,Good,2,2,2,8,19
Sales,Sales Representative,Under 25,21,Banglore,Yes,Travel_Rarely,Life Sciences,3,Female,1,Low,Part Time,Single,2716,1,No,Outstanding,Good,1,0,0,4,13
Research & Development,Research Scientist,25 - 34,29,Banglore,No,Travel_Rarely,Life Sciences,4,Male,1,Low,Full Time,Single,2201,9,No,Excellent,Good,3,2,1,9,9
Research & Development,Healthcare Representative,35 - 44,35,Mumbai,No,Travel_Rarely,Life Sciences,3,Male,2,High,Part Time,Single,6540,9,No,Outstanding,Good,1,1,0,11,20
Research & Development,Laboratory Technician,25 - 34,27,Banglore,No,Travel_Rarely,Medical,4,Male,1,Medium,Part Time,Divorced,3816,1,No,Low,Best,5,2,0,3,5
Sales,Sales Executive,25 - 34,28,Pune,No,Travel_Rarely,Life Sciences,2,Male,2,Very High,Full Time,Single,5253,1,No,Excellent,Bad,7,5,0,3,11
Research & Development,Healthcare Representative,45 - 54,49,Banglore,No,Travel_Rarely,Other,2,Male,3,High,Part Time,Single,10965,8,No,Low,Better,5,2,0,9,8
Sales,Sales Executive,45 - 54,51,Banglore,No,Travel_Rarely,Life Sciences,3,Female,2,Medium,Part Time,Married,4936,4,No,Good,Best,7,7,0,4,18
Research & Development,Research Scientist,35 - 44,36,Mumbai,No,Travel_Rarely,Life Sciences,4,Female,1,High,Part Time,Married,2543,4,No,Outstanding,Better,2,2,2,3,18
Sales,Sales Executive,25 - 34,34,Mumbai,Yes,Non-Travel,Marketing,1,Male,2,Medium,Full Time,Single,5304,8,Yes,Outstanding,Best,5,2,0,2,17
Research & Development,Manager,Over 55,55,Mumbai,No,Travel_Rarely,Life Sciences,3,Female,4,Very High,Full Time,Single,16659,2,Yes,Excellent,Best,5,4,1,9,17
Sales,Sales Executive,Under 25,24,Mumbai,No,Travel_Rarely,Marketing,4,Female,2,High,Full Time,Divorced,4260,1,Yes,Excellent,Better,5,2,0,9,11
Sales,Sales Representative,25 - 34,30,Mumbai,No,Travel_Rarely,Technical Degree,3,Male,1,Medium,Full Time,Married,2476,1,No,Outstanding,Better,1,0,0,6,19
Research & Development,Research Scientist,25 - 34,26,Banglore,Yes,Travel_Frequently,Technical Degree,3,Male,1,Low,Part Time,Single,3102,0,No,Low,Best,6,4,0,5,14
Research & Development,Research Scientist,Under 25,22,Pune,No,Travel_Rarely,Medical,1,Female,1,Low,Part Time,Married,2244,1,No,Excellent,Best,2,1,1,10,6
Sales,Sales Executive,35 - 44,36,Pune,No,Travel_Rarely,Medical,2,Male,3,High,Part Time,Married,7596,1,No,Outstanding,Better,10,9,9,5,8
Research & Development,Research Scientist,25 - 34,30,Mumbai,Yes,Travel_Frequently,Technical Degree,3,Male,1,High,Part Time,Single,2285,9,Yes,Good,Better,1,0,0,10,19
Research & Development,Laboratory Technician,35 - 44,37,Mumbai,No,Travel_Rarely,Life Sciences,4,Female,1,Medium,Part Time,Divorced,3034,1,No,Good,Bad,18,7,12,1,11
Sales,Sales Executive,35 - 44,40,Mumbai,No,Travel_Rarely,Marketing,4,Female,2,Low,Full Time,Divorced,5715,7,No,Excellent,Bad,5,4,1,7,19
Research & Development,Laboratory Technician,35 - 44,42,Mumbai,No,Travel_Rarely,Life Sciences,2,Female,1,Medium,Full Time,Divorced,2576,3,No,Good,Bad,5,2,1,12,5
Research & Development,Manufacturing Director,35 - 44,37,Mumbai,No,Travel_Rarely,Life Sciences,3,Male,2,Medium,Part Time,Single,4197,2,Yes,Excellent,Better,1,0,0,1,9
Research & Development,Research Director,35 - 44,43,Mumbai,No,Travel_Rarely,Life Sciences,1,Male,4,Medium,Full Time,Divorced,14336,1,No,Excellent,Good,25,10,3,5,10
Research & Development,Laboratory Technician,35 - 44,40,Mumbai,No,Travel_Rarely,Medical,2,Female,2,Medium,Part Time,Married,3448,6,No,Excellent,Good,1,0,0,11,9
Research & Development,Research Director,45 - 54,54,Banglore,No,Travel_Rarely,Medical,1,Male,5,Very High,Full Time,Married,19406,4,No,Excellent,Good,4,2,1,9,8
Sales,Sales Executive,25 - 34,34,Hyderabad,No,Non-Travel,Marketing,3,Female,2,Low,Full Time,Married,6538,9,No,Low,Good,3,2,1,9,18
Research & Development,Manufacturing Director,25 - 34,31,Mumbai,No,Travel_Rarely,Medical,2,Female,2,Medium,Part Time,Married,4306,1,No,Outstanding,Good,13,10,3,8,10
Research & Development,Laboratory Technician,35 - 44,43,Pune,No,Travel_Frequently,Medical,4,Male,1,High,Part Time,Married,2258,7,No,Excellent,Best,3,2,1,5,16
Research & Development,Healthcare Representative,35 - 44,43,Pune,No,Travel_Rarely,Other,3,Female,2,Low,Part Time,Divorced,4522,4,Yes,Excellent,Better,5,2,0,3,7
Sales,Sales Executive,25 - 34,25,Pune,No,Travel_Rarely,Life Sciences,2,Female,2,Low,Full Time,Single,4487,1,Yes,Good,Best,5,4,1,10,14
Research & Development,Research Scientist,35 - 44,37,Pune,No,Non-Travel,Medical,2,Female,2,Very High,Full Time,Married,4449,3,Yes,Low,Bad,13,11,10,8,16
Research & Development,Laboratory Technician,25 - 34,31,Pune,No,Travel_Rarely,Life Sciences,4,Male,1,Medium,Full Time,Married,2218,1,No,Good,Bad,4,2,3,10,11
Research & Development,Manager,35 - 44,39,Hyderabad,No,Travel_Frequently,Life Sciences,2,Male,5,High,Full Time,Divorced,19197,1,Yes,Outstanding,Bad,21,8,1,1,13
Sales,Sales Executive,Over 55,56,Pune,No,Travel_Frequently,Life Sciences,3,Female,4,High,Full Time,Married,13212,9,No,Outstanding,Better,7,7,7,1,5
Sales,Sales Executive,25 - 34,30,Pune,No,Travel_Rarely,Technical Degree,2,Female,2,High,Part Time,Single,6577,0,No,Excellent,Bad,5,4,4,10,17
Sales,Sales Executive,35 - 44,41,Mumbai,No,Travel_Rarely,Marketing,2,Male,3,Medium,Full Time,Married,8392,1,No,Good,Good,10,7,0,5,6
Research & Development,Laboratory Technician,25 - 34,28,Mumbai,No,Travel_Rarely,Medical,3,Male,2,Low,Full Time,Divorced,4558,1,No,Excellent,Better,10,0,1,5,16
Research & Development,Laboratory Technician,25 - 34,25,Mumbai,Yes,Travel_Rarely,Medical,1,Male,1,High,Part Time,Married,4031,5,No,Excellent,Good,2,2,0,6,10
Research & Development,Manufacturing Director,45 - 54,52,Banglore,No,Travel_Rarely,Medical,4,Male,3,Very High,Part Time,Married,7969,2,Yes,Outstanding,Better,5,4,0,9,11
Research & Development,Research Scientist,45 - 54,45,Mumbai,No,Travel_Rarely,Life Sciences,1,Male,1,Very High,Full Time,Married,2654,3,No,Excellent,Bad,2,2,0,3,7
Research & Development,Manager,45 - 54,52,Mumbai,No,Travel_Rarely,Life Sciences,4,Female,4,Medium,Part Time,Married,16555,2,No,Good,Best,5,2,1,2,7
Research & Development,Research Scientist,35 - 44,42,Banglore,No,Travel_Frequently,Life Sciences,1,Female,2,Medium,Part Time,Divorced,4556,2,No,Good,Best,5,4,0,3,10
Research & Development,Manufacturing Director,25 - 34,30,Hyderabad,No,Travel_Rarely,Life Sciences,3,Female,2,Medium,Full Time,Single,6091,2,No,Low,Better,5,4,0,12,9
Research & Development,Manager,Over 55,60,Pune,No,Travel_Rarely,Life Sciences,1,Female,5,Medium,Part Time,Married,19566,5,No,Excellent,Good,29,8,11,12,11
Research & Development,Manufacturing Director,45 - 54,46,Mumbai,No,Travel_Rarely,Medical,3,Female,2,Low,Full Time,Divorced,4810,2,No,Good,Bad,10,7,0,3,15
Research & Development,Healthcare Representative,35 - 44,42,Pune,No,Travel_Frequently,Technical Degree,4,Female,2,Very High,Full Time,Married,4523,0,No,Excellent,Bad,6,5,0,5,8
Sales,Sales Representative,Under 25,24,Hyderabad,Yes,Travel_Rarely,Technical Degree,1,Female,1,Low,Part Time,Single,3202,1,Yes,Low,Bad,5,3,1,9,18
Sales,Sales Representative,25 - 34,34,Hyderabad,Yes,Travel_Frequently,Marketing,4,Female,1,Very High,Full Time,Divorced,2351,0,No,Excellent,Bad,2,2,1,4,9
Research & Development,Laboratory Technician,35 - 44,38,Pune,No,Travel_Frequently,Life Sciences,4,Male,1,Low,Part Time,Married,1702,1,Yes,Outstanding,Better,1,0,0,8,12
Sales,Manager,35 - 44,40,Mumbai,No,Travel_Rarely,Life Sciences,3,Female,5,Very High,Part Time,Married,18041,0,No,Excellent,Better,20,15,1,11,7
Research & Development,Research Scientist,25 - 34,26,Pune,No,Travel_Rarely,Life Sciences,1,Female,1,Medium,Part Time,Divorced,2886,1,No,Low,Better,3,2,0,2,12
Research & Development,Laboratory Technician,25 - 34,30,Pune,No,Non-Travel,Life Sciences,3,Male,1,High,Full Time,Married,2097,4,No,Excellent,Best,5,3,1,5,6
Research & Development,Research Director,25 - 34,29,Banglore,No,Travel_Rarely,Medical,2,Male,3,Very High,Full Time,Married,11935,1,No,Good,Better,10,2,0,4,7
Research & Development,Research Scientist,25 - 34,29,Banglore,Yes,Travel_Rarely,Technical Degree,3,Female,1,Very High,Part Time,Married,2546,5,No,Low,Good,2,2,1,12,14
Human Resources,Human Resources,Under 25,19,Hyderabad,Yes,Travel_Rarely,Technical Degree,1,Male,1,Low,Full Time,Single,2564,1,No,Excellent,Better,1,0,0,3,6
Sales,Sales Executive,25 - 34,30,Mumbai,No,Non-Travel,Other,3,Female,3,Very High,Part Time,Married,8412,0,No,Excellent,Good,9,8,7,11,16
Sales,Manager,Over 55,57,Hyderabad,No,Travel_Rarely,Marketing,1,Male,4,High,Full Time,Divorced,14118,3,No,Low,Best,1,0,0,11,15
Research & Development,Manager,45 - 54,50,Pune,No,Travel_Rarely,Life Sciences,2,Male,4,Very High,Full Time,Married,17046,0,No,Outstanding,Good,27,10,15,5,9
Research & Development,Laboratory Technician,25 - 34,30,Banglore,No,Non-Travel,Medical,3,Female,1,Very High,Full Time,Single,2564,0,No,Outstanding,Better,11,7,6,10,11
Sales,Sales Executive,Over 55,60,Pune,No,Travel_Frequently,Marketing,3,Female,3,High,Part Time,Married,10266,4,No,Good,Good,18,13,13,3,6
Research & Development,Manufacturing Director,45 - 54,47,Hyderabad,No,Travel_Rarely,Medical,1,Female,2,Medium,Part Time,Divorced,5070,5,No,Excellent,Better,5,0,0,6,16
Research & Development,Research Director,45 - 54,46,Pune,No,Travel_Rarely,Life Sciences,1,Male,4,Medium,Full Time,Married,17861,6,No,Low,Best,3,2,0,3,8
Research & Development,Laboratory Technician,35 - 44,35,Banglore,No,Travel_Rarely,Life Sciences,4,Male,1,Medium,Full Time,Single,4230,0,No,Low,Best,5,4,4,5,12
Research & Development,Laboratory Technician,45 - 54,54,Banglore,No,Travel_Rarely,Life Sciences,3,Female,2,Medium,Full Time,Single,3780,7,No,Excellent,Better,1,0,0,8,10
Research & Development,Research Scientist,25 - 34,34,Hyderabad,No,Travel_Rarely,Life Sciences,4,Male,1,High,Full Time,Divorced,2768,3,No,Excellent,Better,7,3,5,1,19
Sales,Sales Executive,45 - 54,46,Hyderabad,No,Travel_Rarely,Marketing,3,Female,3,High,Full Time,Married,9071,2,Yes,Excellent,Good,3,2,1,9,11
Research & Development,Manufacturing Director,25 - 34,31,Hyderabad,No,Travel_Rarely,Life Sciences,3,Male,3,Low,Part Time,Divorced,10648,1,No,Good,Best,13,8,0,3,12
Research & Development,Manager,25 - 34,33,Pune,Yes,Travel_Rarely,Medical,2,Male,3,Very High,Part Time,Married,13610,7,Yes,Excellent,Good,7,6,7,9,10
Research & Development,Laboratory Technician,25 - 34,33,Mumbai,Yes,Travel_Rarely,Medical,1,Male,1,Medium,Full Time,Divorced,3408,7,No,Excellent,Bad,4,3,1,2,14
Sales,Sales Representative,25 - 34,30,Mumbai,No,Travel_Rarely,Marketing,4,Male,1,High,Part Time,Single,2983,0,No,Excellent,Best,3,2,1,4,10
Research & Development,Healthcare Representative,35 - 44,35,Pune,No,Travel_Rarely,Life Sciences,4,Male,3,Very High,Part Time,Married,7632,4,Yes,Good,Better,8,7,0,12,16
Research & Development,Healthcare Representative,25 - 34,31,Mumbai,Yes,Travel_Frequently,Life Sciences,1,Male,3,Low,Full Time,Married,9824,3,No,Good,Bad,1,0,0,3,14
Human Resources,Human Resources,25 - 34,34,Pune,Yes,Travel_Frequently,Human Resources,2,Female,3,High,Part Time,Divorced,9950,9,Yes,Low,Best,3,2,0,1,16
Research & Development,Laboratory Technician,35 - 44,42,Banglore,No,Travel_Frequently,Other,2,Male,1,Very High,Full Time,Married,2093,4,No,Good,Better,2,2,2,7,10
Sales,Sales Executive,35 - 44,36,Mumbai,No,Non-Travel,Medical,2,Male,3,Medium,Full Time,Single,9980,1,No,Low,Best,10,3,9,6,5
Research & Development,Laboratory Technician,Under 25,22,Mumbai,Yes,Travel_Frequently,Technical Degree,3,Male,1,Very High,Full Time,Single,3894,5,No,Outstanding,Better,2,2,1,3,16
Sales,Sales Executive,45 - 54,48,Hyderabad,No,Travel_Rarely,Marketing,2,Female,2,Very High,Full Time,Married,4051,2,No,Outstanding,Best,9,7,6,2,17
Sales,Manager,Over 55,55,Hyderabad,No,Travel_Rarely,Life Sciences,1,Female,4,High,Part Time,Single,16835,3,No,Excellent,Good,10,9,7,2,14
Sales,Sales Executive,35 - 44,41,Pune,No,Non-Travel,Life Sciences,4,Male,2,Medium,Part Time,Single,6230,7,No,Excellent,Good,14,3,1,8,19
Sales,Sales Executive,35 - 44,35,Banglore,No,Travel_Rarely,Marketing,2,Male,2,Low,Part Time,Married,4717,9,No,Good,Better,11,9,6,11,9
Research & Development,Manufacturing Director,35 - 44,40,Hyderabad,No,Travel_Rarely,Life Sciences,2,Female,4,High,Part Time,Single,13237,7,No,Good,Good,20,6,5,10,17
Research & Development,Laboratory Technician,35 - 44,39,Mumbai,No,Travel_Frequently,Life Sciences,3,Female,1,Very High,Full Time,Married,3755,1,No,Outstanding,Best,8,3,0,7,8
Sales,Sales Executive,25 - 34,31,Hyderabad,No,Travel_Rarely,Life Sciences,2,Male,2,Low,Full Time,Single,6582,4,Yes,Low,Best,6,5,0,9,20
Research & Development,Manufacturing Director,35 - 44,42,Pune,No,Travel_Rarely,Medical,4,Male,3,Medium,Full Time,Married,7406,1,Yes,Low,Better,10,9,5,5,5
Sales,Sales Executive,45 - 54,45,Banglore,No,Travel_Rarely,Other,4,Male,2,Medium,Full Time,Married,4805,0,No,Good,Bad,8,7,3,3,12
Human Resources,Human Resources,25 - 34,26,Mumbai,Yes,Travel_Frequently,Life Sciences,2,Female,1,High,Full Time,Divorced,2741,0,Yes,Low,Better,7,7,1,2,13
Research & Development,Manufacturing Director,25 - 34,29,Pune,No,Travel_Rarely,Technical Degree,4,Male,2,High,Full Time,Divorced,4262,4,No,Outstanding,Good,3,2,1,9,16
Research & Development,Research Director,25 - 34,33,Hyderabad,No,Travel_Rarely,Medical,1,Female,4,Low,Full Time,Divorced,16184,4,No,Good,Bad,6,1,0,2,16
Sales,Manager,25 - 34,31,Banglore,No,Travel_Rarely,Life Sciences,3,Male,3,Very High,Full Time,Divorced,11557,9,No,Outstanding,Best,5,4,0,8,13
Sales,Sales Representative,Under 25,18,Banglore,Yes,Travel_Frequently,Marketing,2,Male,1,High,Full Time,Single,1878,1,Yes,Low,Best,0,0,0,6,9
Sales,Sales Executive,35 - 44,40,Pune,No,Non-Travel,Other,3,Male,3,High,Full Time,Divorced,10932,3,No,Excellent,Best,1,0,0,1,8
Research & Development,Healthcare Representative,35 - 44,41,Mumbai,No,Non-Travel,Other,1,Female,2,Very High,Full Time,Single,6811,2,Yes,Outstanding,Bad,8,7,0,5,14
Sales,Sales Executive,25 - 34,26,Banglore,No,Travel_Rarely,Medical,1,Male,2,High,Full Time,Divorced,4306,5,No,Outstanding,Bad,0,0,0,5,7
Sales,Sales Executive,35 - 44,35,Banglore,No,Travel_Rarely,Medical,1,Female,2,Medium,Full Time,Single,4859,1,No,Good,Better,5,4,0,12,14
Sales,Sales Executive,25 - 34,34,Hyderabad,No,Travel_Rarely,Life Sciences,4,Male,2,Very High,Full Time,Single,5337,1,No,Excellent,Better,10,7,5,8,6
Research & Development,Laboratory Technician,25 - 34,26,Pune,Yes,Travel_Rarely,Technical Degree,3,Male,1,Low,Full Time,Single,2340,1,Yes,Outstanding,Best,1,0,0,5,19
Research & Development,Manufacturing Director,35 - 44,37,Hyderabad,No,Travel_Rarely,Technical Degree,2,Female,3,Very High,Full Time,Single,7491,4,No,Good,Best,6,5,1,12,8
Research & Development,Healthcare Representative,45 - 54,46,Mumbai,No,Travel_Frequently,Medical,1,Female,3,Low,Full Time,Married,10527,5,No,Low,Best,2,2,1,9,9
Sales,Manager,35 - 44,41,Mumbai,No,Travel_Rarely,Life Sciences,2,Female,4,Medium,Full Time,Married,16595,7,No,Outstanding,Bad,18,16,11,12,16
Sales,Sales Executive,35 - 44,37,Hyderabad,No,Non-Travel,Medical,1,Male,3,High,Full Time,Divorced,8834,1,No,Excellent,Bad,9,5,7,1,15
Research & Development,Research Scientist,45 - 54,52,Mumbai,No,Travel_Rarely,Technical Degree,4,Male,2,Low,Full Time,Divorced,5577,3,Yes,Outstanding,Better,10,9,6,4,16
Sales,Sales Executive,25 - 34,32,Mumbai,Yes,Non-Travel,Other,4,Male,2,High,Full Time,Married,4707,8,No,Good,Good,4,2,1,12,10
Sales,Sales Representative,Under 25,24,Hyderabad,No,Travel_Frequently,Medical,4,Male,1,Medium,Full Time,Married,2400,0,No,Low,Best,2,2,2,6,8
Research & Development,Healthcare Representative,35 - 44,38,Pune,No,Travel_Rarely,Medical,3,Female,2,Medium,Full Time,Married,9824,3,No,Outstanding,Best,1,0,0,12,13
Research & Development,Manufacturing Director,35 - 44,37,Hyderabad,No,Travel_Rarely,Life Sciences,2,Female,2,Low,Full Time,Married,6447,6,No,Good,Best,6,5,4,3,10
Research & Development,Research Director,45 - 54,49,Hyderabad,No,Travel_Rarely,Life Sciences,4,Male,5,Very High,Full Time,Divorced,19502,1,Yes,Excellent,Bad,31,9,0,3,16
Research & Development,Research Scientist,Under 25,24,Mumbai,No,Travel_Rarely,Medical,2,Male,1,Very High,Full Time,Married,2725,1,Yes,Excellent,Bad,6,5,1,6,14
Sales,Sales Executive,25 - 34,26,Banglore,No,Travel_Rarely,Marketing,1,Male,2,High,Full Time,Married,6272,1,No,Low,Better,5,3,1,8,20
Research & Development,Laboratory Technician,Under 25,24,Banglore,No,Travel_Rarely,Other,4,Male,1,High,Full Time,Married,2127,1,No,Outstanding,Best,1,0,0,3,6
Human Resources,Manager,45 - 54,50,Banglore,No,Travel_Frequently,Medical,1,Male,5,Low,Full Time,Married,18200,1,No,Outstanding,Better,32,5,10,3,5
Sales,Sales Representative,25 - 34,25,Hyderabad,No,Travel_Rarely,Medical,2,Male,1,Very High,Full Time,Married,2096,1,No,Low,Best,7,4,0,4,9
Research & Development,Laboratory Technician,Under 25,24,Hyderabad,Yes,Travel_Frequently,Life Sciences,1,Female,1,High,Full Time,Married,2886,1,Yes,Good,Good,6,3,1,2,5
Sales,Sales Representative,25 - 34,30,Pune,Yes,Travel_Frequently,Life Sciences,2,Male,1,Medium,Full Time,Married,2033,1,No,Outstanding,Bad,1,0,0,5,16
Research & Development,Research Scientist,25 - 34,34,Hyderabad,No,Travel_Rarely,Life Sciences,2,Male,1,Medium,Full Time,Married,3622,1,Yes,Low,Good,6,5,1,5,7
Sales,Sales Executive,25 - 34,31,Pune,Yes,Travel_Rarely,Medical,2,Male,2,High,Full Time,Divorced,4233,2,No,Outstanding,Best,3,1,1,3,5
Research & Development,Laboratory Technician,35 - 44,35,Pune,No,Travel_Rarely,Other,1,Male,2,Low,Full Time,Single,3681,4,No,Low,Bad,3,2,0,7,7
Sales,Sales Executive,25 - 34,31,Mumbai,No,Travel_Rarely,Medical,1,Male,2,Low,Full Time,Divorced,5460,4,No,Good,Bad,7,7,5,11,11
Research & Development,Research Scientist,25 - 34,27,Mumbai,No,Travel_Rarely,Medical,1,Female,1,Medium,Full Time,Divorced,2187,0,No,Low,Bad,5,3,0,10,5
Sales,Sales Executive,35 - 44,37,Banglore,No,Travel_Rarely,Marketing,4,Male,2,Very High,Full Time,Married,9602,4,Yes,Good,Good,3,0,1,1,11
Research & Development,Research Scientist,Under 25,20,Banglore,No,Travel_Rarely,Life Sciences,4,Female,1,Low,Full Time,Single,2836,1,No,Excellent,Bad,1,0,0,9,20
Research & Development,Healthcare Representative,35 - 44,42,Hyderabad,No,Travel_Rarely,Life Sciences,3,Female,2,High,Full Time,Married,4089,1,No,Outstanding,Good,10,2,2,2,13
Research & Development,Research Director,35 - 44,43,Mumbai,No,Travel_Rarely,Other,2,Male,4,Low,Full Time,Divorced,16627,4,Yes,Low,Good,1,0,0,3,14
Research & Development,Research Scientist,35 - 44,38,Mumbai,No,Travel_Rarely,Life Sciences,3,Female,1,Low,Full Time,Single,2619,3,No,Excellent,Good,0,0,0,3,6
Research & Development,Laboratory Technician,35 - 44,43,Hyderabad,No,Travel_Frequently,Medical,4,Male,2,Medium,Full Time,Divorced,5679,3,Yes,Excellent,Bad,8,7,4,2,5
Research & Development,Manager,45 - 54,48,Banglore,No,Travel_Rarely,Life Sciences,4,Female,4,High,Full Time,Married,15402,7,No,Good,Best,3,2,0,12,19
Human Resources,Human Resources,35 - 44,44,Hyderabad,No,Travel_Rarely,Life Sciences,1,Female,2,High,Full Time,Single,5985,4,No,Outstanding,Better,2,2,0,2,17
Sales,Sales Representative,25 - 34,34,Hyderabad,No,Travel_Rarely,Technical Degree,3,Female,1,Low,Full Time,Divorced,2579,1,Yes,Good,Best,8,2,0,2,12
Sales,Sales Representative,25 - 34,27,Hyderabad,Yes,Travel_Rarely,Marketing,3,Male,1,Medium,Full Time,Divorced,3041,0,No,Good,Bad,4,3,0,8,19
Sales,Sales Representative,Under 25,21,Banglore,No,Travel_Rarely,Technical Degree,3,Male,1,Very High,Full Time,Single,3447,1,No,Excellent,Best,3,2,1,5,15
